country,continent,year,gdp_pc,life_exp,pop,lgdp_pc,lgdp_pc_change
Afghanistan ,Asia ,1952,779.45,28.8,8425333,6.6585884,
Afghanistan ,Asia ,1957,820.85,30.33,9240934,6.7103405,
Afghanistan ,Asia ,1962,853.1,32,10267083,6.7488766,
Afghanistan ,Asia ,1967,836.2,34.02,11537966,6.728868,.070279598
Afghanistan ,Asia ,1972,739.98,36.09,13079460,6.6066232,-.10371733
Afghanistan ,Asia ,1977,786.11,38.44,14880372,6.6670966,-.081779957
Afghanistan ,Asia ,1982,978.01,39.85,12881816,6.88552,.15665197
Afghanistan ,Asia ,1987,852.4,40.82,13867957,6.7480559,.14143276
Afghanistan ,Asia ,1992,649.34,41.67,16317921,6.4759564,-.19114017
Afghanistan ,Asia ,1997,635.34,41.76,22227415,6.4541602,-.43135977
Afghanistan ,Asia ,2002,726.73,42.13,25268405,6.5885549,-.15950108
Afghanistan ,Asia ,2007,974.58,43.83,31889923,6.8820066,.40605021
Albania ,Europe ,1952,1601.06,55.23,1282697,7.3784213,
Albania ,Europe ,1957,1942.28,59.28,1476505,7.5716176,
Albania ,Europe ,1962,2312.89,64.81999999999999,1728137,7.746253,
Albania ,Europe ,1967,2760.2,66.22,1984060,7.9230585,.5446372
Albania ,Europe ,1972,3313.42,67.69,2263554,8.1057358,.53411818
Albania ,Europe ,1977,3533,68.93000000000001,2509048,8.1699028,.42364979
Albania ,Europe ,1982,3630.88,70.42,2780097,8.1972303,.27417183
Albania ,Europe ,1987,3738.93,72,3075321,8.2265549,.12081909
Albania ,Europe ,1992,2497.44,71.58,3326498,7.8230214,-.34688139
Albania ,Europe ,1997,3193.05,72.95,3428038,8.0687323,-.12849808
Albania ,Europe ,2002,4604.21,75.65000000000001,3508512,8.4347267,.20817184
Albania ,Europe ,2007,5937.03,76.42,3600523,8.6889639,.86594248
Algeria ,Africa ,1952,2449.01,43.08,9279525,7.8034391,
Algeria ,Africa ,1957,3013.98,45.69,10270856,8.0110168,
Algeria ,Africa ,1962,2550.82,48.3,11000948,7.8441701,
Algeria ,Africa ,1967,3246.99,51.41,12760499,8.0854836,.28204441
Algeria ,Africa ,1972,4182.66,54.52,14760787,8.3387032,.32768631
Algeria ,Africa ,1977,4910.42,58.01,17152804,8.499115,.6549449
Algeria ,Africa ,1982,5745.16,61.37,20033753,8.6561127,.57062912
Algeria ,Africa ,1987,5681.36,65.8,23254956,8.6449461,.30624294
Algeria ,Africa ,1992,5023.22,67.73999999999999,26298373,8.5218267,.022711754
Algeria ,Africa ,1997,4797.3,69.15000000000001,29072015,8.4758081,-.18030453
Algeria ,Africa ,2002,5288.04,70.98999999999999,31287142,8.5732031,-.071743011
Algeria ,Africa ,2007,6223.37,72.3,33333216,8.7360668,.21424007
Angola ,Africa ,1952,3520.61,30.02,4232095,8.1663895,
