Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Estimates Start After
Austria,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2014 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2015",160.187,160.027,163.08,167.654,168.21,171.983,176.009,178.966,180.686,187.709,195.866,202.607,206.849,207.939,212.934,218.615,223.858,228.794,236.939,245.445,253.713,257.139,261.397,263.374,270.5,276.29,285.548,295.889,300.468,289.053,294.628,302.901,305.195,306.175,307.257,2014
Austria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.314,-0.099,1.908,2.804,0.332,2.243,2.341,1.681,0.961,3.887,4.346,3.442,2.094,0.527,2.402,2.668,2.398,2.205,3.56,3.59,3.368,1.351,1.656,0.756,2.706,2.141,3.351,3.621,1.547,-3.799,1.929,2.808,0.757,0.321,0.353,2014
Austria,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2014 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2015",75.811,80.704,86.63,92.316,96.914,102.143,107.362,111.471,119.357,127.673,137.217,147.109,155.414,160.54,168.548,176.183,182.133,188.31,195.828,203.418,213.196,220.096,226.303,230.999,241.505,253.009,266.478,282.347,291.93,286.188,294.628,308.63,317.056,322.878,329.296,2014
Austria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",80.743,69.965,69.954,70.874,66.857,68.47,97.157,121.499,133.293,132.965,166.493,174.045,195.069,189.958,203.514,240.747,236.828,212.61,217.994,217.01,196.998,197.123,213.725,261.22,300.264,315.187,334.603,386.995,429.638,398.602,390.939,429.431,407.599,428.833,437.582,2014
Austria,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",47.326,50.432,53.121,55.064,57.615,59.391,60.998,62.286,66.058,68.016,70.057,72.608,75.134,77.206,79.155,80.591,81.361,82.305,82.649,82.877,84.031,85.594,86.574,87.708,89.281,91.574,93.322,95.423,97.159,99.009,100,101.892,103.886,105.455,107.173,2014
Austria,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","21,243.72","21,179.95","21,556.95","22,226.94","22,298.28","22,783.13","23,292.03","23,651.89","23,848.83","24,717.13","25,620.88","26,275.47","26,522.86","26,379.81","26,856.08","27,521.22","28,147.25","28,724.92","29,724.76","30,747.90","31,705.36","32,058.63","32,416.90","32,514.04","33,220.31","33,688.18","34,593.88","35,722.49","36,166.06","34,679.38","35,277.97","36,166.37","36,297.68","36,225.58","36,114.77",2014
Austria,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,053.90","10,681.41","11,451.32","12,238.98","12,847.19","13,531.21","14,207.69","14,731.84","15,754.02","16,811.68","17,949.11","19,078.07","19,927.69","20,366.67","21,257.91","22,179.56","22,900.86","23,642.15","24,567.27","25,483.03","26,642.19","27,440.28","28,064.71","28,517.36","29,659.45","30,849.51","32,283.54","34,087.52","35,138.47","34,335.74","35,277.97","36,850.50","37,708.38","38,201.86","38,705.14",2014
Austria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,707.97","9,259.98","9,246.95","9,396.19","8,862.78","9,070.48","12,857.29","16,057.05","17,593.40","17,508.59","21,778.65","22,571.32","25,012.37","24,098.68","25,668.06","30,307.42","29,778.14","26,693.03","27,348.04","27,185.69","24,617.96","24,576.15","26,504.85","32,248.22","36,875.71","38,430.94","40,536.77","46,721.57","51,713.80","47,822.73","46,810.13","51,274.07","48,476.89","50,738.02","51,433.00",2014
Austria,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",1.418,-0.961,-0.856,0.122,-1.708,-1.474,-0.837,0.831,-0.745,0.406,1.996,2.825,2.184,0.057,-0.162,-0.107,-0.572,-1.141,-0.321,0.635,1.501,0.504,-0.06,-1.385,-0.699,-0.436,1.15,3.195,3.35,-1.796,-1.031,0.673,0.418,-0.236,-0.844,2014
Austria,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,"See notes for:  Gross domestic product, current prices (National currency).",84.466,92.261,99.855,106.708,110.861,116.975,122.127,127.349,133.073,143.621,155.405,166.105,173.448,178.51,186.689,195.667,204.016,212.085,222.018,233.508,246.866,255.902,264.133,271.437,286.447,301.992,321.702,342.223,354.335,343.462,354.364,371.835,381.552,389.018,396.806,2014
Austria,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,201.82","12,210.99","13,199.46","14,146.94","14,696.02","15,496.07","16,161.60","16,830.16","17,564.35","18,911.72","20,328.26","21,541.54","22,240.08","22,646.35","23,545.92","24,632.30","25,652.40","26,627.10","27,852.90","29,252.55","30,849.74","31,904.40","32,756.21","33,509.47","35,178.86","36,822.05","38,973.88","41,316.29","42,649.85","41,207.21","42,430.64","44,397.12","45,379.12","46,027.26","46,640.27",2014
Austria,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.65,0.636,0.645,0.646,0.619,0.609,0.604,0.592,0.572,0.573,0.578,0.585,0.537,0.529,0.526,0.521,0.514,0.504,0.509,0.509,0.502,0.497,0.491,0.476,0.463,0.452,0.443,0.435,0.429,0.414,0.4,0.396,0.387,0.376,0.365,2011
